,donorID,province,region,gender,language,number_of_campaigns,total_amount,Q1_Donations,Q2_Donations,Q3_Donations,Q4_Donations,days_since_contributed,mean,min,max,Q1_Max,Q2_Max,Q3_Max,Q4_Max,Q1_Mean,Q2_Mean,Q3_Mean,Q4_Mean,Q1_Amount,Q2_Amount,Q3_Amount,Q4_Amount,Q1_Min,Q2_Min,Q3_Min,Q4_Min,age,age-group,amount,has_contributed
0,100001,Flemish Brabant,Flanders,F,NL,12.0,178.49,3.0,3.0,1.0,5.0,2924.0,14.874166666666667,6.69,30.0,20.0,30.0,7.44,24.79,14.13,21.596666666666664,7.44,12.774000000000001,42.39,64.78999999999999,7.44,63.870000000000005,10.0,10.0,7.44,6.69,53,50,,0
1,100003,Flemish Brabant,Flanders,M,NL,12.0,46.0,3.0,3.0,5.0,1.0,198.0,3.8333333333333335,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.6,4.0,12.0,12.0,18.0,4.0,4.0,4.0,3.0,4.0,34,30,,0
2,100004,Brussels,Brussels,F,FR,26.0,716.22,8.0,4.0,4.0,10.0,3134.0,27.54692307692308,24.79,49.58,30.0,30.0,24.79,49.58,27.395,28.697499999999998,24.79,28.310999999999996,219.16,114.78999999999999,99.16,283.10999999999996,24.79,24.79,24.79,24.79,68,60,,0
3,100006,Brussels,Brussels,M,FR,1.0,5.0,,,1.0,,869.0,5.0,5.0,5.0,,,5.0,,,,5.0,,,,5.0,,,,5.0,,94,90,,0
4,100009,Brussels,Brussels,M,FR,19.0,326.78,5.0,4.0,4.0,6.0,2838.0,17.198947368421052,7.44,25.0,20.0,25.0,25.0,20.0,15.956,16.8475,23.75,14.101666666666667,79.78,67.39,95.0,84.61,12.39,10.0,20.0,7.44,88,80,,0
5,100011,Brussels,Brussels,M,NL,1.0,100.0,,,,1.0,1491.0,100.0,100.0,100.0,,,,100.0,,,,100.0,,,,100.0,,,,100.0,57,50,,0
6,100012,Brussels,Brussels,F,FR,1.0,5.0,,,,1.0,1521.0,5.0,5.0,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,43,40,,0
7,100013,Brussels,Brussels,F,FR,1.0,30.0,,,,1.0,1487.0,30.0,30.0,30.0,,,,30.0,,,,30.0,,,,30.0,,,,30.0,46,40,,0
8,100014,Antwerp,Flanders,M,NL,1.0,30.0,,1.0,,,3523.0,30.0,30.0,30.0,,30.0,,,,30.0,,,,30.0,,,,30.0,,,34,30,,0
9,100016,Brussels,Brussels,M,FR,1.0,32.23,1.0,,,,5099.0,32.23,32.23,32.23,32.23,,,,32.23,,,,32.23,,,,32.23,,,,41,40,,0
10,100017,Brussels,Brussels,M,FR,4.0,51.800000000000004,,,,4.0,4027.0,12.950000000000001,12.39,14.63,,,,14.63,,,,12.950000000000001,,,,51.800000000000004,,,,12.39,63,60,,0
11,100018,Brussels,Brussels,F,FR,1.0,5.0,,,,1.0,1828.0,5.0,5.0,5.0,,,,5.0,,,,5.0,,,,5.0,,,,5.0,28,20,,0
12,100019,Brussels,Brussels,M,FR,3.0,90.0,,1.0,1.0,1.0,1330.0,30.0,30.0,30.0,,30.0,30.0,30.0,,30.0,30.0,30.0,,30.0,30.0,30.0,,30.0,30.0,30.0,49,40,,0
13,100020,Brussels,Brussels,M,FR,8.0,196.55,2.0,3.0,2.0,1.0,891.0,24.56875,12.39,35.0,35.0,30.0,24.79,24.79,23.695,26.526666666666667,22.395,24.79,47.39,79.58,44.79,24.79,12.39,24.79,20.0,24.79,62,60,,0
14,100023,Brussels,Brussels,M,FR,4.0,34.5,,1.0,2.0,1.0,116.0,8.625,6.5,15.0,,6.5,15.0,6.5,,6.5,10.75,6.5,,6.5,21.5,6.5,,6.5,6.5,6.5,65,60,,0
15,100026,Antwerp,Flanders,F,NL,8.0,125.0,4.0,3.0,,1.0,2488.0,15.625,5.0,32.0,10.0,32.0,,30.0,9.5,19.0,,30.0,38.0,57.0,,30.0,8.0,5.0,,30.0,37,30,,0
16,100027,Brussels,Brussels,F,NL,7.0,79.0,1.0,1.0,4.0,1.0,123.0,11.285714285714286,5.0,20.0,6.0,20.0,20.0,8.0,6.0,20.0,11.25,8.0,6.0,20.0,45.0,8.0,6.0,20.0,5.0,8.0,47,40,,0
17,100029,Flemish Brabant,Flanders,M,NL,2.0,40.0,1.0,,1.0,,1256.0,20.0,20.0,20.0,20.0,,20.0,,20.0,,20.0,,20.0,,20.0,,20.0,,20.0,,47,40,,0
18,100031,Brussels,Brussels,M,NL,1.0,10.0,1.0,,,,1813.0,10.0,10.0,10.0,10.0,,,,10.0,,,,10.0,,,,10.0,,,,55,50,,0
19,100032,Brussels,Brussels,M,FR,1.0,24.79,,,1.0,,5267.0,24.79,24.79,24.79,,,24.79,,,,24.79,,,,24.79,,,,24.79,,45,40,,0
20,100033,Brussels,Brussels,M,FR,4.0,146.0,1.0,1.0,2.0,,580.0,36.5,30.0,45.0,30.0,45.0,41.0,,30.0,45.0,35.5,,30.0,45.0,71.0,,30.0,45.0,30.0,,26,20,,0
21,100038,Brussels,Brussels,F,FR,2.0,57.11,1.0,1.0,,,566.0,28.555,16.11,41.0,16.11,41.0,,,16.11,41.0,,,16.11,41.0,,,16.11,41.0,,,47,40,,0
22,100039,Brussels,Brussels,M,FR,9.0,65.0,3.0,2.0,2.0,2.0,1244.0,7.222222222222222,5.0,10.0,10.0,10.0,10.0,10.0,6.666666666666667,7.5,7.5,7.5,20.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,68,60,,0
