,decile,prob_min,prob_max,prob_avg,cnt_cust,cnt_resp,cnt_non_resp,cnt_resp_rndm,cnt_resp_wiz,resp_rate,cum_cust,cum_resp,cum_resp_wiz,cum_non_resp,cum_cust_pct,cum_resp_pct,cum_resp_pct_wiz,cum_non_resp_pct,KS,lift
0,1,0.658,1.0,0.793,2565.0,155.0,2410.0,21.7,217.0,6.043,2565.0,155.0,217.0,2410.0,10.002,71.429,100.0,9.478,61.951,7.141
1,2,0.461,0.658,0.557,2564.0,27.0,2537.0,21.7,0.0,1.053,5129.0,182.0,217.0,4947.0,20.0,83.871,100.0,19.455,64.416,4.194
2,3,0.298,0.461,0.376,2565.0,15.0,2550.0,21.7,0.0,0.585,7694.0,197.0,217.0,7497.0,30.002,90.783,100.0,29.483,61.3,3.026
3,4,0.179,0.298,0.235,2564.0,8.0,2556.0,21.7,0.0,0.312,10258.0,205.0,217.0,10053.0,40.0,94.47,100.0,39.535,54.935,2.362
4,5,0.106,0.179,0.139,2565.0,5.0,2560.0,21.7,0.0,0.195,12823.0,210.0,217.0,12613.0,50.002,96.774,100.0,49.603,47.171,1.935
5,6,0.059,0.106,0.08,2564.0,5.0,2559.0,21.7,0.0,0.195,15387.0,215.0,217.0,15172.0,60.0,99.078,100.0,59.667,39.411,1.651
6,7,0.032,0.059,0.043,2565.0,1.0,2564.0,21.7,0.0,0.039,17952.0,216.0,217.0,17736.0,70.002,99.539,100.0,69.75,29.789,1.422
7,8,0.017,0.032,0.024,2564.0,0.0,2564.0,21.7,0.0,0.0,20516.0,216.0,217.0,20300.0,80.0,99.539,100.0,79.833,19.706,1.244
8,9,0.009,0.017,0.013,2565.0,0.0,2565.0,21.7,0.0,0.0,23081.0,216.0,217.0,22865.0,90.002,99.539,100.0,89.921,9.618,1.106
9,10,0.0,0.009,0.006,2564.0,1.0,2563.0,21.7,0.0,0.039,25645.0,217.0,217.0,25428.0,100.0,100.0,100.0,100.0,0.0,1.0
